,taxon_name,marine
0,Abra alba,True
1,Abra longicallus,True
2,Abra nitida,True
3,Abra prismatica,True
4,Abudefduf luridus,True
5,Abudefduf saxatilis,True
6,Abudefduf sordidus,True
7,Abylopsis tetragona,True
8,Acacia dealbata,False
9,Acacia retinodes,False
10,Acanthaster planci,True
11,Acanthella acuta,True
12,Acanthocardia aculeata,True
13,Acanthocardia paucicostata,True
14,Acanthocardia spinosa,True
15,Acanthocardia tuberculata,True
16,Acanthochitona crinita,True
17,Acanthochitona fascicularis,True
18,Acanthonyx lunulatus,True
19,Acanthurus guttatus,True
20,Acanthurus leucosternon,True
21,Acanthurus lineatus,True
22,Acanthurus nigricauda,True
23,Acanthurus olivaceus,True
24,Acanthurus triostegus,True
25,Acanthurus xanthopterus,True
26,Acanthus mollis,False
27,Acantopsis,True
28,Accipiter gentilis,False
29,Accipiter nisus,False
30,Acer campestre,False
31,Acer monspessulanum,False
32,Acer negundo,False
33,Acer opalus,False
34,Acer saccharinum,False
35,Acetabularia acetabulum,True
36,Acetabularia calyculus,True
37,Acherontia atropos,False
38,Achillea ageratum,False
39,Achillea millefolium,False
40,Achyra nudalis,False
41,Acinetospora crinita,True
42,Aconitum napellus,False
43,Acontia lucida,False
44,Acrida ungarica,False
45,Acridotheres fuscus,False
46,Acridotheres tristis,False
47,Acrocephalus arundinaceus,False
48,Acrocephalus melanopogon,False
49,Acrocnida brachiata,True
50,Acrodiscus vidovichii,True
51,Acromegalomma vesiculosum,True
52,Acronicta megacephala,False
53,Acronicta rumicis,False
54,Acrosternum heegeri,False
55,Acrosymphyton purpuriferum,True
56,Acteon tornatilis,True
57,Actias isabelae,False
58,Actinia cari,True
59,Actinia equina,True
60,Actinia striata,True
61,Actinostella flosculifera,True
62,Actitis hypoleucos,True
63,Adalia bipunctata,False
64,Adamsia palliata,True
65,Adela australis,False
66,Adeonella calveti,True
67,Adiantum capillus-veneris,False
68,Adna anglica,True
69,Aedes albopictus,False
70,Aedia leucomelas,False
71,Aegilops geniculata,False
72,Aegires leuckartii,True
73,Aegires palensis,True
74,Aegires punctilucens,True
75,Aegires sublaevis,True
76,Aegithalos caudatus,False
77,Aegonychon purpurocaeruleum,False
78,Aegypius monachus,False
79,Aeolidia filomenae,True
80,Aeolidiella alderi,True
81,Aeolidiella sanguinea,True
82,Aequipecten opercularis,True
83,Aequorea forskalea,True
84,Aequorea pensilis,True
85,Aequorea vitrina,True
86,Aesculus hippocastanum,False
87,Aeshna cyanea,False
88,Aeshna mixta,False
89,Agalenatea redii,False
90,Agalma okeni,True
91,Agapanthia cardui,False
92,Agaricus bitorquis,False
93,Agave americana,False
94,Agave attenuata,False
95,Agelas oroides,True
96,Aglais io,False
97,Aglais urticae,False
98,Aglaja tricolorata,True
99,Aglaophenia,True
100,Aglaophenia elongata,True
101,Aglaophenia harpago,True
102,Aglaophenia kirchenpaueri,True
103,Aglaophenia pluma,True
104,Aglaophenia tubiformis,True
105,Aglossa pinguinalis,False
106,Agrimonia eupatoria,False
107,Agriopis marginaria,False
108,Agriphila straminella,False
109,Agrius convolvuli,False
110,Agrocybe cylindracea,False
111,Agrotis ipsilon,False
112,Aidablennius sphynx,True
113,Ailanthus altissima,False
114,Aiolopus strepens,False
115,Aiptasia couchi,True
116,Aiptasia mutabilis,True
117,Aiptasiidae,True
118,Aiptasiogeton hyalinus,True
119,Aiptasiogeton pellucidus,True
120,Aix galericulata,True
121,Ajuga iva,False
122,Akera bullata,True
123,Alauda arvensis,False
124,Alcea rosea,False
125,Alcedo atthis,False
126,Alcyonium acaule,True
127,Alcyonium coralloides,True
128,Alcyonium digitatum,True
129,Aldisa banyulensis,True
130,Aldisa smaragdina,True
131,Alectoris rufa,False
132,Alentia gelatinosa,True
133,Alicia mirabilis,True
134,Alisma plantago-aquatica,False
135,Alitta virens,True
136,Alliaria petiolata,False
137,Allium,False
138,Allium neapolitanum,False
139,Allium roseum,False
140,Alloteuthis media,True
141,Alloteuthis subulata,True
142,Almana longipes,False
143,Alnus glutinosa,False
144,Alopecosa albofasciata,False
145,Alpheus dentipes,True
146,Alpheus glaber,True
147,Alpheus macrocheles,True
148,Alsidium corallinum,True
149,Altica ampelophaga,False
150,Alucita grammodactyla,False
151,Aluterus scriptus,True
152,Alvania cancellata,True
153,Alvania cimex,True
154,Alvania discors,True
155,Alvania lineata,True
156,Alytes obstetricans,False
157,Amanita muscaria,True
158,Amanita pantherina,False
159,Amanita phalloides,True
160,Amanita submembranacea,False
161,Amaranthus blitoides,False
162,Amaranthus retroflexus,False
163,Amathia lendigera,True
164,Amathia verticillata,True
165,Amblyosyllis formosa,True
166,Amegilla quadrifasciata,False
167,Amelanchier ovalis,False
168,Ameles spallanzania,False
169,Amephana aurita,False
170,Ammonicera fischeriana,True
171,Ammophila arenaria,True
172,Ammophila sabulosa,False
173,Ampelodesmos mauritanicus,False
174,Amphibalanus amphitrite,True
175,Amphibalanus eburneus,True
176,Amphiduros fuscescens,True
177,Amphimallon majale,False
178,Amphipholis squamata,True
179,Amphiprion nigripes,True
180,Amphiroa,True
181,Amphiroa beauvoisii,True
182,Amphiroa cryptarthrodia,True
183,Amphiroa rigida,True
184,Amphorina andra,True
185,Amphorina farrani,True
186,Anacamptis pyramidalis,False
187,Anacridium aegyptium,False
188,Anacyclus clavatus,False
189,Anacyclus valentinus,False
190,Anadyomene stellata,True
191,Anagallis arvensis,False
192,Anagallis tenella,False
193,Anairetes parulus,False
194,Anapagurus laevis,True
195,Anas,True
196,Anas bahamensis,True
197,Anas crecca,True
198,Anas discors,False
199,Anas flavirostris,False
200,Anas georgica,True
201,Anas penelope,False
202,Anas platalea,False
203,Anas platyrhynchos,True
204,Anas poecilorhyncha,False
205,Anas querquedula,False
206,Anas sibilatrix,False
207,Anas strepera,False
208,Anax ephippiger,False
209,Anax imperator,False
210,Anax parthenope,False
211,Anchusa arvensis,False
212,Ancistrocerus gazella,False
213,Ancyrosoma leucogrammes,False
214,Andrena agilissima,False
215,Andrena cineraria,False
216,Andrena florea,False
217,Andrena lagopus,False
218,Andrena thoracica,False
219,Andrenidae,False
220,Andresia parthenopea,True
221,Andryala integrifolia,False
222,Anemone nemorosa,False
223,Anemonia melanaster,True
224,Anemonia sulcata,True
225,Anemonia viridis,True
226,Anguilla anguilla,True
227,Anguinella palmata,True
228,Anguis fragilis,False
229,Anhinga anhinga,False
230,Anilocra,True
231,Anilocra capensis,True
232,Anilocra physodes,True
233,Anisoplia baetica,False
234,Anomalon cruentatum,False
235,Anomalotinea liguriella,False
236,Anomia ephippium,True
237,Anoplodactylus pygmaeus,True
238,Anredera cordifolia,False
239,Anser anser,True
240,Anser brachyrhynchus,True
241,Antalis inaequicostata,True
242,Antalis vulgaris,True
243,Anteaeolidiella lurana,True
244,Antedon bifida,True
245,Antedon mediterranea,True
246,Antennella siliquosa,True
247,Anthaxia barri,False
248,Anthaxia godeti,False
249,Anthaxia hungarica,False
250,Anthaxia salicis,False
251,Anthemis arvensis,False
252,Anthericum liliago,False
253,Anthias anthias,True
254,Anthidium cingulatum,False
255,Anthidium florentinum,False
256,Anthidium loti,False
257,Anthophila fabriciana,False
258,Anthopleura ballii,True
259,Anthracoceros coronatus,False
260,Anthrenus pimpinellae,False
261,Anthrenus verbasci,False
262,Anthus campestris,False
263,Anthus pratensis,False
264,Anthus spinoletta,False
265,Anthus trivialis,False
266,Antigastra catalaunalis,False
267,Antiopella cristata,True
268,Antipathella subpinnata,True
269,Antirrhinum majus,False
270,Aphanius iberus,True
271,Aphantopus hyperantus,False
272,Aphanus rolandri,False
273,Aphia minuta,True
274,Aphyllanthes monspeliensis,False
275,Apis mellifera,False
276,Apium nodiflorum,False
277,Apletodon dentatus,True
278,Apletodon incognitus,True
279,Apletodon pellegrini,True
280,Aplidium,True
281,Aplidium asperum,True
282,Aplidium conicum,True
283,Aplidium elegans,True
284,Aplidium proliferum,True
285,Aplidium pseudolobatum,True
286,Aplidium tabarquensis,True
287,Aplidium turbinatum,True
288,Aplus dorbignyi,True
289,Aplysia,True
290,Aplysia dactylomela,True
291,Aplysia depilans,True
292,Aplysia fasciata,True
293,Aplysia parvula,True
294,Aplysia punctata,True
295,Aplysilla rosea,True
296,Aplysilla rubra,True
297,Aplysilla sulfurea,True
298,Aplysina,True
299,Aplysina aerophoba,True
300,Aplysina cavernicola,True
301,Aplysiopsis elegans,True
302,Apodemus sylvaticus,False
303,Apogon imberbis,True
304,Apolemia uvaria,True
305,Aporia crataegi,False
306,Aporodes floralis,False
307,Aporodoris millegrana,True
308,Aporophyla nigra,False
309,Aporrhais pespelecani,True
310,Aporrhais pespelicanis,False
311,Apseudes talpa,True
312,Aptenia cordifolia,False
313,Aptenodytes patagonicus,True
314,Apterichtus caecus,True
315,Aptyxis syracusana,True
316,Apus apus,False
317,Apus melba,False
318,Apus pacificus,False
319,Aquila chrysaetos,False
320,Aquilegia vulgaris,False
321,Araceae,True
322,Arachnanthus oligopodus,True
323,Arachnocephalus vestitus,False
324,Aramides saracura,False
325,Araneus angulatus,False
326,Araneus diadematus,False
327,Aratinga erythrogenys,False
328,Araucaria araucana,False
329,Araujia sericifera,False
330,Arbacia lixula,True
331,Arbutus unedo,False
332,Arca noae,True
333,Arcopella balaustina,True
334,Arctia villica,False
335,Arctium minus,False
336,Arctostaphylos uva-ursi,False
337,Arctotheca calendula,False
338,Ardea alba,False
339,Ardea alba egretta,False
340,Ardea cinerea,False
341,Ardea purpurea,False
342,Ardeola ralloides,False
343,Arenaria interpres,True
344,Arethusana arethusa,False
345,Arge ochropus,False
346,Arge rosae,False
347,Argiope bruennichi,False
348,Argiope lobata,False
349,Argiope trifasciata,False
350,Argynnis aglaja,False
351,Argynnis hyperbius,False
352,Argynnis niobe,False
353,Argynnis paphia,False
354,Argyrodes argyrodes,False
355,Aricia cramera,False
356,Ariosoma balearicum,True
357,Arisarum vulgare,False
358,Aristolochia baetica,False
359,Armadillidium granulatum,False
360,Armadillidium vulgare,False
361,Armillaria mellea,False
362,Armillaria novae-zelandiae,False
363,Armina tigrina,True
364,Arnoglossus laterna,True
365,Arnoglossus thori,True
366,Arothron stellatus,True
367,Artemisia annua,False
368,Artemisia stelleriana,False
369,Artemisia verlotiorum,False
370,Arum italicum,False
371,Arundo donax,False
372,Ascandra falcata,True
373,Ascidia adspersa,False
374,Ascidia conchilega,True
375,Ascidia mentula,True
376,Ascidia virginea,True
377,Ascidiella aspersa,True
378,Ascidiella scabra,True
379,Ascidonia flavomaculata,True
380,Asparagopsis armata,True
381,Asparagopsis taxiformis,True
382,Asparagus acutifolius,False
383,Asphodelus fistulosus,False
384,Aspitates ochrearia,False
385,Asplenium,False
386,Asplenium adiantum-nigrum,False
387,Asplenium ceterach,False
388,Asplenium exiguum,False
389,Asplenium onopteris,False
390,Asplenium scolopendrium,False
391,Asplenium trichomanes-ramosum,False
392,Astacilla dilatata,True
393,Aster squamatus,False
394,Asteraceae,True
395,Asterias rubens,True
396,Asterina gibbosa,True
397,Asterina pancerii,True
398,Asterina phylactica,True
399,Asterophora lycoperdoides,False
400,Astraeus hygrometricus,False
401,Astragalus monspessulanus,False
402,Astrantia major,False
403,Astroides calycularis,True
404,Astropecten,True
405,Astropecten aranciacus,True
406,Astropecten irregularis,True
407,Astropecten platyacanthus,True
408,Astropecten spinulosus,True
409,Astrospartus mediterraneus,True
410,Atalodoris depressa,True
411,Atalodoris inconspicua,True
412,Atalodoris neapolitana,True
413,Atalodoris pictoni,True
414,Atalodoris sparsa,True
415,Atelecyclus undecimdentatus,True
416,Athanas nitescens,True
417,Athene noctua,False
418,Atherina,True
419,Atherina boyeri,True
420,Atherina hepsetus,True
421,Atherina presbyter,True
422,Atlanta peronii,True
423,Atriplex halimus,False
424,Attagenus trifasciatus,False
425,Attelabus nitens,False
426,Aulactinia verrucosa,True
427,Aulostomus chinensis,True
428,Aulostomus strigosus,True
429,Aurelia aurita,True
430,Auricularia auricula-judae,False
431,Auricularia mesenterica,False
432,Auricularia polytricha,False
433,Autographa gamma,False
434,Auxis thazard,True
435,Avena,False
436,Avena sterilis,False
437,Axinella damicornis,True
438,Axinella polypoides,True
439,Axinella verrucosa,True
440,Aythya ferina,False
441,Aythya fuligula,False
442,Aythya nyroca,True
443,Babakina festiva,True
444,Bacillus rossius,False
445,Baizongia pistaciae,False
446,Balanophyllia europaea,True
447,Balanophyllia regia,True
448,Balanus trigonus,True
449,Balistapus undulatus,True
450,Balistes capriscus,True
451,Balistoides viridescens,True
452,Balssia gasti,True
453,Baptodoris cinnabarina,True
454,Barbatia barbata,True
455,Barnea candida,True
456,Baseodiscus delineatus,True
457,Bathygobius lineatus,True
458,Bathytoshia centroura,True
459,Beania hirtissima cylindrica,True
460,Beania magellanica,True
461,Bellardia trixago,False
462,Bellis,False
463,Bellis perennis,False
464,Bellis sylvestris,False
465,Belone belone,True
466,Belonochilus numenius,False
467,Bembix oculata,False
468,Bembix rostrata,False
469,Beosus maritimus,False
470,Berberomeloe majalis,False
471,Berghia coerulescens,True
472,Berghia verrucicornis,True
473,Beroe forskalii,True
474,Beroe gracilis,True
475,Beroe ovata,True
476,Berthella aurantiaca,True
477,Berthella ocellata,True
478,Berthella perforata,True
479,Berthella plumula,True
480,Berthella stellata,True
481,Berthellina edwardsii,True
482,Beta vulgaris,True
483,Bibio hortulanus,False
484,Bibio marci,False
485,Bicellariella ciliata,True
486,Bidens aurea,False
487,Bidens pilosa,False
488,Bidens subalternans,False
